TIC,split,sector,camera,ccd,detector_x,detector_y,physics_nll,instrument_nll,physics_percentile,instrument_percentile,physics_rank,instrument_rank,physics_rank_all,instrument_rank_all,classification,physics_umap_1,physics_umap_2,instrument_umap_1,instrument_umap_2
261257641,train,1,4,2,2090.1142504650816,25.40956745943603,270.96722,250.67822,0.77375,0.745,,,249,235,typical,9.014037,4.764555,1.9815993,2.1670935
261257636,train,1,4,2,2085.603172609887,24.875693456244832,253.94098,252.09952,0.69625,0.7575,,,324,224,typical,9.329456,4.7100396,1.9987477,2.2108374
261239209,train,1,4,2,2086.745373611964,8.517532105975546,293.99344,401.06293,0.84625,0.94625,,,178,45,typical,8.765237,4.8772917,2.19457,2.6693463
261236560,train,1,4,2,2078.360946531465,10.580442721077308,319.40005,389.9222,0.8975,0.94125,,,119,49,typical,9.00863,4.8275003,2.1828072,2.694039
261239189,train,1,4,2,2078.962571846225,19.48958919178759,270.79904,332.34235,0.7725,0.91125,,,250,75,typical,9.312522,4.520693,2.076172,2.3779218
261206882,train,1,4,2,2054.1073391625596,12.730848381844822,263.59338,307.2579,0.7475,0.885,,,279,101,typical,11.427799,5.3413925,0.98054194,0.97187036
261236510,train,1,4,2,2056.661217866871,18.811124310047937,223.1345,290.16476,0.5275,0.85625,,,496,128,typical,11.303326,5.339893,0.95287263,1.0567877
261236508,train,1,4,2,2056.798403637491,21.619540854471108,196.94945,248.84909,0.35875,0.73625,,,664,243,typical,11.222617,5.45924,0.75289834,1.1005273
261236503,train,1,4,2,2052.842138314272,23.5665228106292,201.04407,231.16563,0.38875,0.67375,,,637,304,typical,11.196105,5.5285826,0.40719476,1.1393468
261236501,train,1,4,2,2051.547230956947,22.292711021901574,265.3155,260.89386,0.75375,0.7875,,,273,190,typical,11.305822,5.8509655,0.5661631,1.1359025
261206863,train,1,4,2,2048.485394242196,20.57109517172434,214.3906,156.47015,0.46875,0.325,,,552,639,typical,11.22285,5.925557,0.43769908,1.1382797
261206864,train,1,4,2,2048.2986491899237,19.746044312683125,213.2779,162.96053,0.46625,0.355,,,555,610,typical,11.27577,5.7595835,0.40702745,1.1213351
261206892,train,1,4,2,2053.599078143806,6.457267041456532,188.15071,327.35358,0.30875,0.9025,,,715,83,typical,11.181449,5.1226373,1.0479562,0.90783703
261206879,train,1,4,2,2047.0958545856804,6.48526656791687,256.87656,436.3518,0.71,0.96375,,,313,30,instrument,11.570975,5.269145,0.8291715,0.6780824
261206869,train,1,4,2,2045.190469998854,11.019542650242412,241.26216,473.7467,0.64125,0.97375,,,382,22,instrument,11.550818,5.377823,0.7216037,0.5653422
261204469,train,1,4,2,2042.9107520017124,8.464437913238962,302.24506,542.8507,0.86375,0.9875,,,156,11,instrument,11.664554,5.344764,0.7597036,0.49904343
261206875,train,1,4,2,2047.0684724673752,8.21057206438571,271.6106,384.18033,0.78,0.93625,,,244,53,typical,11.631869,5.283084,0.959767,0.84389824
261204456,train,1,4,2,2036.4411593673256,12.945280918011774,366.83582,442.37433,0.9475,0.965,,,56,29,instrument,11.750305,5.614926,0.35220543,0.6223725
261206867,train,1,4,2,2048.9372587531493,16.074254994849223,206.86415,300.48972,0.43,0.875,,,593,110,typical,11.327458,5.366588,0.6610655,0.9421414
