row,TIC,split,sector,camera,ccd,detector_x,detector_y,moment_nll,moment_percentile,moment_anomaly,physics_nll,instrument_nll,physics_percentile,instrument_percentile,classification
2,261257641,train,1,4,2,2090.1142504650816,25.40956745943603,585.0631,0.80125,False,270.96722,250.67822,0.77375,0.745,typical
3,261257636,train,1,4,2,2085.603172609887,24.875693456244832,522.6449,0.755,False,253.94098,252.09952,0.69625,0.7575,typical
7,261239209,train,1,4,2,2086.745373611964,8.517532105975546,624.19336,0.82375,False,293.99344,401.06293,0.84625,0.94625,typical
9,261236560,train,1,4,2,2078.360946531465,10.580442721077308,600.74274,0.81125,False,319.40005,389.9222,0.8975,0.94125,typical
21,261239189,train,1,4,2,2078.962571846225,19.48958919178759,504.29678,0.725,False,270.79904,332.34235,0.7725,0.91125,typical
31,261206882,train,1,4,2,2054.1073391625596,12.730848381844822,497.69705,0.72,False,263.59338,307.2579,0.7475,0.885,typical
34,261236510,train,1,4,2,2056.661217866871,18.811124310047937,433.96927,0.65125,False,223.1345,290.16476,0.5275,0.85625,typical
36,261236508,train,1,4,2,2056.798403637491,21.619540854471108,546.61,0.78,False,196.94945,248.84909,0.35875,0.73625,typical
37,261236503,train,1,4,2,2052.8421383142722,23.5665228106292,351.82758,0.53875,False,201.04407,231.16563,0.38875,0.67375,typical
39,261236501,train,1,4,2,2051.547230956947,22.292711021901574,395.39893,0.59625,False,265.3155,260.89386,0.75375,0.7875,typical
40,261206863,train,1,4,2,2048.485394242196,20.57109517172434,318.06522,0.4825,False,214.3906,156.47015,0.46875,0.325,typical
42,261206864,train,1,4,2,2048.2986491899237,19.746044312683125,330.6856,0.51375,False,213.2779,162.96053,0.46625,0.355,typical
44,261206892,train,1,4,2,2053.599078143806,6.457267041456532,525.76306,0.7575,False,188.15071,327.35358,0.30875,0.9025,typical
45,261206879,train,1,4,2,2047.0958545856804,6.48526656791687,506.75125,0.72875,False,256.87656,436.3518,0.71,0.96375,instrument
50,261206869,train,1,4,2,2045.190469998854,11.019542650242412,417.1048,0.63,False,241.26216,473.7467,0.64125,0.97375,instrument
51,261204469,train,1,4,2,2042.9107520017124,8.464437913238962,509.8867,0.7375,False,302.24506,542.8507,0.86375,0.9875,instrument
52,261206875,train,1,4,2,2047.0684724673754,8.21057206438571,533.51746,0.7675,False,271.6106,384.18033,0.78,0.93625,typical
53,261204456,train,1,4,2,2036.4411593673256,12.945280918011774,202.55292,0.20875,False,366.83582,442.37433,0.9475,0.965,instrument
54,261206867,train,1,4,2,2048.9372587531493,16.074254994849223,462.92584,0.69375,False,206.86415,300.48972,0.43,0.875,typical
55,261206859,train,1,4,2,2040.570884844528,16.15759420535453,177.40295,0.14875,False,350.12085,267.2731,0.93375,0.8025,typical
58,261206851,train,1,4,2,2036.1660613870647,16.209734432635265,235.47255,0.2875,False,327.08865,155.56181,0.9075,0.32,typical
62,261204453,train,1,4,2,2028.5275341534305,7.082794482107353,324.37216,0.5025,False,234.43263,268.3055,0.5925,0.81,typical
66,261204434,train,1,4,2,2020.2990830855122,15.063733300315823,188.02663,0.16875,False,227.28065,60.670902,0.5525,0.01125,typical
68,261204429,train,1,4,2,2017.8011371108948,15.014644590828146,512.611,0.74125,False,194.52077,50.291798,0.34625,0.005,typical
69,261156581,train,1,4,2,2019.3777274720514,4.446272686652469,176.96674,0.1475,False,162.97762,76.62446,0.13625,0.0475,typical
73,392026045,train,1,4,2,2004.6904785280815,5.275075740126533,438.24637,0.66375,False,149.95917,100.963905,0.0775,0.1025,typical
76,261156571,train,1,4,2,2013.533515680013,9.865916014963702,160.96848,0.1125,False,273.38306,86.182014,0.78875,0.07,typical
77,261156558,train,1,4,2,2005.3061438314658,9.149921461868601,366.28897,0.55875,False,154.0519,101.273766,0.0925,0.105,typical
78,261156563,train,1,4,2,2007.8802457534061,10.016585372138787,176.45847,0.14625,False,350.99124,69.151566,0.935,0.03125,typical
81,392026032,train,1,4,2,1995.06761889692,8.401568354244642,409.9147,0.61625,False,152.5871,199.72374,0.08625,0.515,typical
82,392026025,train,1,4,2,1991.250334397826,10.190434028041516,426.84106,0.6375,False,163.62427,195.85643,0.14375,0.49125,typical
