row,TIC,split,sector,camera,ccd,detector_x,detector_y
2,261257641,train,1,4,2,2090.1142504650816,25.40956745943603
3,261257636,train,1,4,2,2085.603172609887,24.875693456244832
7,261239209,train,1,4,2,2086.745373611964,8.517532105975546
9,261236560,train,1,4,2,2078.360946531465,10.580442721077308
21,261239189,train,1,4,2,2078.962571846225,19.48958919178759
31,261206882,train,1,4,2,2054.1073391625596,12.730848381844822
34,261236510,train,1,4,2,2056.661217866871,18.811124310047937
36,261236508,train,1,4,2,2056.798403637491,21.619540854471108
37,261236503,train,1,4,2,2052.8421383142722,23.5665228106292
39,261236501,train,1,4,2,2051.547230956947,22.292711021901574
40,261206863,train,1,4,2,2048.485394242196,20.57109517172434
42,261206864,train,1,4,2,2048.2986491899237,19.746044312683125
44,261206892,train,1,4,2,2053.599078143806,6.457267041456532
45,261206879,train,1,4,2,2047.0958545856804,6.48526656791687
50,261206869,train,1,4,2,2045.190469998854,11.019542650242412
51,261204469,train,1,4,2,2042.9107520017124,8.464437913238962
52,261206875,train,1,4,2,2047.0684724673754,8.21057206438571
53,261204456,train,1,4,2,2036.4411593673256,12.945280918011774
54,261206867,train,1,4,2,2048.9372587531493,16.074254994849223
55,261206859,train,1,4,2,2040.570884844528,16.15759420535453
58,261206851,train,1,4,2,2036.1660613870647,16.209734432635265
62,261204453,train,1,4,2,2028.5275341534305,7.082794482107353
66,261204434,train,1,4,2,2020.2990830855122,15.063733300315823
68,261204429,train,1,4,2,2017.8011371108948,15.014644590828146
69,261156581,train,1,4,2,2019.3777274720514,4.446272686652469
73,392026045,train,1,4,2,2004.6904785280815,5.275075740126533
76,261156571,train,1,4,2,2013.533515680013,9.865916014963702
77,261156558,train,1,4,2,2005.3061438314658,9.149921461868601
78,261156563,train,1,4,2,2007.8802457534061,10.016585372138787
81,392026032,train,1,4,2,1995.06761889692,8.401568354244642
82,392026025,train,1,4,2,1991.250334397826,10.190434028041516
83,392026024,train,1,4,2,1987.5961470528453,5.86321762673732
84,392026018,train,1,4,2,1986.1037086688048,8.200070670695425
90,261257606,train,1,4,2,2081.5504758429315,42.74645435395025
91,261257613,train,1,4,2,2078.4465136674444,35.39076747213935
94,261257608,train,1,4,2,2074.1713985771403,34.566093732538405
95,261239161,train,1,4,2,2069.6571255449508,32.89928159404311
99,261257596,train,1,4,2,2070.877860710327,36.392188837064765
103,261260240,train,1,4,2,2087.420348868094,46.87487991827386
104,261260232,train,1,4,2,2083.3158513363855,49.0429279133771
105,261260230,train,1,4,2,2082.8552905644897,52.34951356188683
107,261260227,train,1,4,2,2078.1402957305163,48.670986581605526
109,261257592,train,1,4,2,2076.7822086617025,46.69133921751675
111,261260225,train,1,4,2,2083.4890410405324,54.89140825742045
115,261257561,train,1,4,2,2065.847371935346,56.63449275152647
116,261257591,train,1,4,2,2074.3565481269898,44.34469616373207
118,261257582,train,1,4,2,2067.29945251996,46.40656034052478
120,261239130,train,1,4,2,2062.9687326069647,43.423351576115
121,261257572,train,1,4,2,2062.9840688911904,47.30676776828037
123,261257555,train,1,4,2,2058.7753809242377,52.56527966995794
125,261257557,train,1,4,2,2061.4725672494906,53.084760323563046
126,261239110,train,1,4,2,2054.5325575782017,49.87201194050261
131,261239104,train,1,4,2,2049.957726565487,52.939664452021624
134,261239153,train,1,4,2,2065.6118575427768,33.32094064119222
135,261239154,train,1,4,2,2066.914815934205,34.54276436576624
138,261236492,train,1,4,2,2052.434133629008,31.166734572846373
139,261239137,train,1,4,2,2061.4198875670136,36.609307791106
142,261239128,train,1,4,2,2059.2739359738234,40.37831202939514
144,261236491,train,1,4,2,2053.8839708575615,32.80784090628211
146,261239122,train,1,4,2,2053.0076281212678,38.83329036652416
149,261236498,train,1,4,2,2052.4830992492734,25.180529498878446
150,261206854,train,1,4,2,2044.1979018182858,23.640143497550753
151,261206849,train,1,4,2,2043.3825946918375,25.906343494103595
152,261206850,train,1,4,2,2043.9917924443348,25.358171956258474
153,261206848,train,1,4,2,2042.889542305559,26.003185774568976
157,261206840,train,1,4,2,2038.9809440552015,27.001648576785904
159,261236490,train,1,4,2,2050.991005836033,31.835671402077033
161,261236483,train,1,4,2,2046.7725313431968,33.93129264924088
168,261239118,train,1,4,2,2055.5099684714432,42.49773877879097
172,261239106,train,1,4,2,2048.0041833495543,48.16689035478323
183,261260206,train,1,4,2,2067.950501943972,60.219284971561386
185,261260200,train,1,4,2,2068.1186632339163,66.28511369785195
187,261260191,train,1,4,2,2060.2429376602922,64.69333163554177
188,261260192,train,1,4,2,2062.3654544286833,66.32975121545711
189,261257529,train,1,4,2,2054.4053108917187,69.90408883001275
191,261257543,train,1,4,2,2051.361148616693,61.086581306256456
193,261257540,train,1,4,2,2049.638291700923,60.49145683475742
196,261257526,train,1,4,2,2050.728600202049,67.6489540643395
199,261260175,train,1,4,2,2055.971290228932,75.48151066669746
203,261260162,train,1,4,2,2049.368871116091,79.66432637434835
209,261257511,train,1,4,2,2039.0415101387255,70.30450568212956
210,261239073,train,1,4,2,2034.6166941937158,67.54245113942639
211,261257495,train,1,4,2,2031.2396003357428,76.16169055882123
214,261239088,train,1,4,2,2037.7890524101413,59.95437927461679
215,261236426,train,1,4,2,2029.710385308482,53.55097072662051
217,261239082,train,1,4,2,2031.9724368129664,56.89416326596088
219,261239081,train,1,4,2,2030.5989346610404,56.32565004049467
220,261239083,train,1,4,2,2037.4707268534387,62.3132867426643
221,261236413,train,1,4,2,2025.9692174136787,58.23574812092738
224,261239067,train,1,4,2,2024.020367391116,62.59633067281076
225,261236409,train,1,4,2,2020.011134802713,54.46572770911164
228,261236408,train,1,4,2,2016.6868425280313,50.918571515101725
230,261236391,train,1,4,2,2018.6800914028909,63.25863002168763
235,261239054,train,1,4,2,2021.9540347709303,69.7042384861343
238,261239053,train,1,4,2,2021.1322642981102,69.99848919089163
240,261239045,train,1,4,2,2019.352864597961,70.63537136964298
241,261239044,train,1,4,2,2019.9812375097642,71.54851668091001
243,261236380,train,1,4,2,2014.3010096052153,68.76618681451748
247,261239028,train,1,4,2,2013.1284642963856,76.62282076017158
249,261236384,train,1,4,2,2016.488857470402,65.16974803184728
251,261236375,train,1,4,2,2005.619529763008,62.61308890367538
255,261206847,train,1,4,2,2038.7770580041033,22.12634538957326
258,261204442,train,1,4,2,2029.1583738653435,19.393232013911415
263,261204430,train,1,4,2,2022.1819414230517,19.501842272693168
266,261204418,train,1,4,2,2016.6618196914221,24.112384395610306
269,261204415,train,1,4,2,2013.636964671207,23.40892646770431
273,261204396,train,1,4,2,2010.4181441273124,30.56483651546125
274,261204392,train,1,4,2,2004.0200376207088,26.676860087098916
277,261206807,train,1,4,2,2016.9934950435995,41.90692889994711
278,261204383,train,1,4,2,2009.497393602916,38.88168165068392
279,261204382,train,1,4,2,2008.641228459007,39.43766106335548
280,261204380,train,1,4,2,2005.2376831164488,40.873925143521205
281,261204371,train,1,4,2,2003.5134989287137,42.897049144851216
284,261204401,train,1,4,2,2013.7843708481882,31.655538569218546
285,261204394,train,1,4,2,2008.3628590616252,30.611757968487993
289,261204375,train,1,4,2,1997.3752961044538,34.02861221828529
292,261204363,train,1,4,2,1997.0986418078348,40.589756738884105
293,261204367,train,1,4,2,1998.1883912248004,40.250678261710945
296,261156502,train,1,4,2,1989.3328735538091,38.57016705893555
297,261156546,train,1,4,2,2007.1143425823843,19.653132372817325
298,261156544,train,1,4,2,2006.1931466071971,20.467036213291326
300,261156541,train,1,4,2,2001.079396048286,17.607751940344688
302,261156539,train,1,4,2,2003.0668736706825,22.59823973917722
303,261156529,train,1,4,2,1994.08402479347,21.62243461051004
311,392026016,train,1,4,2,1986.042035796589,10.261441424312286
314,392026007,train,1,4,2,1987.1918046385913,21.356049991718116
316,261156511,train,1,4,2,1985.3741639288753,26.681412927580066
318,261156498,train,1,4,2,1979.4015431419693,30.021394650244304
326,261156482,train,1,4,2,1979.4323458609656,38.67049099835212
327,261156475,train,1,4,2,1974.2101437910364,36.69518714076975
328,392025997,train,1,4,2,1979.0057099339808,26.473842707752464
330,392025991,train,1,4,2,1977.6375030654744,29.623277115730893
331,392025988,train,1,4,2,1973.1162882094675,28.366898419464313
337,261206777,train,1,4,2,1998.3133383828215,52.09018867783208
339,261204347,train,1,4,2,1993.6876008699521,53.217362172343016
341,261204335,train,1,4,2,1984.3828540987258,46.99100860806996
343,261204338,train,1,4,2,1987.7467600083974,49.85576223271786
345,261204331,train,1,4,2,1983.2475038385037,49.48039268612683
346,261204330,train,1,4,2,1983.1562037135195,49.96842462620656
347,261204324,train,1,4,2,1980.8257460080824,51.16013809295764
349,261206757,train,1,4,2,1993.4130326291738,62.73775984323131
350,261206763,train,1,4,2,1993.6171515067138,58.750790729669674
351,261206756,train,1,4,2,1988.8972253311308,57.84517481116915
361,261204294,train,1,4,2,1972.6880384259002,61.57225773383031
365,261204285,train,1,4,2,1966.3107964594708,64.98561754593622
366,261156481,train,1,4,2,1981.2307121328085,41.77271954715563
368,261156488,train,1,4,2,1983.0097580862544,40.87423030833125
369,261156480,train,1,4,2,1981.441582024369,42.03545076970815
