epoch,train_nll,val_nll
0,280.10260009765625,277.5498352050781
1,274.52403259277344,274.033447265625
2,272.42156982421875,271.191162109375
3,267.3115997314453,268.600341796875
4,264.5419921875,266.31805419921875
5,262.84417724609375,264.2907409667969
6,262.58934020996094,262.4708251953125
7,259.5439453125,260.8344421386719
8,257.2753601074219,259.3974609375
9,254.50653839111328,258.14093017578125
10,254.33383178710938,257.16339111328125
11,253.34283447265625,256.3851318359375
12,252.40303802490234,255.7301025390625
13,250.6584014892578,255.1669464111328
14,254.43424224853516,254.50717163085938
15,250.90804290771484,254.02133178710938
16,248.61418914794922,253.61007690429688
17,249.88976287841797,253.0946807861328
18,248.36297607421875,252.4972686767578
19,247.7338638305664,252.17347717285156
20,247.4911880493164,251.8833465576172
21,247.11267852783203,251.56082153320312
22,246.96219635009766,251.2232666015625
23,247.0553207397461,251.09042358398438
24,245.76314544677734,250.80340576171875
25,246.5476303100586,250.48135375976562
26,243.6690444946289,250.32737731933594
27,243.77532958984375,250.1142120361328
28,244.59605407714844,249.90966796875
29,241.99583435058594,249.70074462890625
30,243.15150451660156,249.5054473876953
31,243.88919830322266,249.3592529296875
32,241.50633239746094,249.16293334960938
33,244.05300903320312,248.9621124267578
34,240.87222290039062,248.8612060546875
35,240.01134490966797,248.7467803955078
36,241.04725646972656,248.64999389648438
37,241.03089904785156,248.48187255859375
38,239.2613296508789,248.3040008544922
39,240.66175079345703,248.09317016601562
40,238.9361343383789,248.05160522460938
41,239.7784652709961,247.92108154296875
42,237.45606994628906,247.76332092285156
43,238.6954803466797,247.68011474609375
44,238.40990447998047,247.55831909179688
45,239.69224548339844,247.40736389160156
46,237.6461639404297,247.38819885253906
47,237.5574493408203,247.26039123535156
48,237.27764129638672,247.19342041015625
49,236.43836212158203,247.06851196289062
