epoch,train_reconstruction,val_reconstruction,val_visible_reconstruction,seconds,wall_minutes
0,0.3064422558993101,0.2041464626789093,0.20429456233978271,43.1,0.72
1,0.15637517366558312,0.15763993561267853,0.15891505181789398,40.87,1.4
2,0.11221868954598904,0.15255145430564881,0.1454426556825638,41.45,2.09
3,0.0969649943523109,0.1389196217060089,0.13376936316490173,40.94,2.78
4,0.08177548693493009,0.1388164132833481,0.13746642470359802,40.82,3.46
5,0.07308030724525452,0.13887595236301423,0.12515367865562438,40.39,4.13
6,0.05878866352140903,0.1375896453857422,0.11720797419548035,120.64,6.14
7,0.05939101073890925,0.13399113714694977,0.11665485203266143,41.0,6.83
8,0.050772538501769306,0.12536866664886476,0.12054881155490875,40.36,7.5
9,0.041039104713127016,0.12780230045318602,0.12324949502944946,40.98,8.19
10,0.040616175532341,0.13738060891628265,0.12823754847049712,42.82,8.9
11,0.03434053384698928,0.13071416318416595,0.12865257859230042,41.36,9.59
12,0.03225138573907316,0.13627976477146148,0.13091786801815034,40.39,10.27
